Unnamed: 0,target_var,condition_var,condition_val,cond_target_dist,prob,marginal,condition_influence,scaffold_order
4314,X21,X79,False,3,0.1432694052504928,0.2182866061439716,0.0750172008934788,['X88']
4315,X21,X79,True,3,0.963701554998744,0.2182866061439716,0.7454149488547723,['X88']
15684,X79,X21,False,3,0.0042458129304018,0.0914362033673326,0.0871903904369307,['X63']
15685,X79,X21,True,3,0.4036722855541701,0.0914362033673326,0.3122360821868375,['X63']
14006,X70,X74,False,2,0.6415392929046119,0.8080902349253671,0.1665509420207552,['X58']
14007,X70,X74,True,2,0.9676392905366408,0.8080902349253671,0.1595490556112736,['X58']
14792,X74,X70,False,2,0.0861226249524298,0.5107357964739736,0.4246131715215437,['X58']
14793,X74,X70,True,2,0.6115752949265444,0.5107357964739736,0.1008394984525707,['X58']
912,X4,X61,False,3,0.3123375819232418,0.4280837166368472,0.1157461347136054,['X57']
913,X4,X61,True,3,0.8575933184474914,0.4280837166368472,0.4295096018106442,['X57']
12086,X61,X4,False,3,0.0528572005482254,0.2122786189310596,0.1594214183828342,['X72']
12087,X61,X4,True,3,0.4252643073526986,0.2122786189310596,0.212985688421639,['X72']
3232,X16,X33,False,2,0.7547174208427351,0.3097720634750889,0.4449453573676461,['X3']
3233,X16,X33,True,2,0.1944180183519868,0.3097720634750889,0.1153540451231021,['X3']
6566,X33,X16,False,2,0.926837799349262,0.7941207218546349,0.1327170774946271,['X3']
6567,X33,X16,True,2,0.4984031805142067,0.7941207218546349,0.2957175413404281,['X3']
904,X4,X57,False,2,0.260902990157133,0.4280837166368472,0.1671807264797142,['X72']
905,X4,X57,True,2,0.9006449932052261,0.4280837166368472,0.4725612765683788,['X72']
11294,X57,X4,False,2,0.0453982004334161,0.2613252306135454,0.2159270301801292,['X72']
11295,X57,X4,True,2,0.5498019462159377,0.2613252306135454,0.2884767156023923,['X72']
2946,X14,X88,False,2,0.9963699560418442,0.9182904381963336,0.0780795178455104,['X79']
2947,X14,X88,True,2,0.5874344626760223,0.9182904381963336,0.3308559755203114,['X79']
17452,X88,X14,False,2,0.9640563598448684,0.1909306288928225,0.7731257309520457,['X79']
17453,X88,X14,True,2,0.1221378351670052,0.1909306288928225,0.0687927937258173,['X79']
4064,X20,X53,False,2,0.603327420961076,0.4718295408014037,0.1314978801596723,"['X12', 'X10']"
4065,X20,X53,True,2,0.1411655028040068,0.4718295408014037,0.3306640379973969,"['X12', 'X10']"
10534,X53,X20,False,2,0.4626579246679364,0.2845277622979946,0.1781301623699417,"['X10', 'X12']"
10535,X53,X20,True,2,0.085127171382422,0.2845277622979946,0.1994005909155725,"['X10', 'X12']"
3296,X16,X65,False,3,0.0472664328630876,0.3097720634750889,0.2625056306120014,['X27']
3297,X16,X65,True,3,0.5152242338675553,0.3097720634750889,0.2054521703924663,['X27']
12902,X65,X16,False,3,0.3939855626181257,0.5609600527248643,0.1669744901067386,['X99']
12903,X65,X16,True,3,0.9330092829419768,0.5609600527248643,0.3720492302171125,['X99']
13000,X65,X66,False,3,0.8477897658322819,0.5609600527248643,0.2868297131074176,['X99']
13001,X65,X66,True,3,0.394466381638464,0.5609600527248643,0.1664936710864002,['X99']
13198,X66,X65,False,3,0.8726341581057475,0.6326688437780058,0.2399653143277417,['X27']
13199,X66,X65,True,3,0.444830377261284,0.6326688437780058,0.1878384665167217,['X27']
7508,X37,X92,False,2,0.8725383922972806,0.5735415889861781,0.2989968033111024,['X77']
7509,X37,X92,True,2,0.3820371595453136,0.5735415889861781,0.1915044294408645,['X77']
18290,X92,X37,False,2,0.8440489609892265,0.625014996741185,0.2190339642480415,['X77']
18291,X92,X37,True,2,0.449658652711387,0.625014996741185,0.1753563440297979,['X77']
1230,X6,X22,False,3,0.2445841755731634,0.63244601616141,0.3878618405882466,['X69']
1231,X6,X22,True,3,0.9859541090936164,0.63244601616141,0.3535080929322063,['X69']
4368,X22,X6,False,3,0.019992644405015,0.5231690995970855,0.5031764551920704,['X28']
4369,X22,X6,True,3,0.8155964466806103,0.5231690995970855,0.2924273470835248,['X28']
10492,X52,X99,False,2,0.1322013692881951,0.3570144810529613,0.2248131117647662,['X66']
10493,X52,X99,True,2,0.945133835925232,0.3570144810529613,0.5881193548722707,['X66']
19706,X99,X52,False,2,0.0237169743450184,0.2766056225246768,0.2528886481796584,['X66']
19707,X99,X52,True,2,0.7321650835508272,0.2766056225246768,0.4555594610261503,['X66']
2896,X14,X63,False,3,0.5909570104071549,0.9182904381963336,0.3273334277891788,['X88']
2897,X14,X63,True,3,0.9952637918132105,0.9182904381963336,0.0769733536168767,['X88']
12502,X63,X14,False,3,0.0469284423641813,0.8096193902072041,0.7626909478430228,['X79']
12503,X63,X14,True,3,0.87748369603868,0.8096193902072041,0.0678643058314759,['X79']
4410,X22,X28,False,2,0.0015282890503648,0.5231690995970855,0.5216408105467206,['X69']
4411,X22,X28,True,2,0.9098903144182668,0.5231690995970855,0.3867212148211814,['X69']
5588,X28,X22,False,2,0.1085224710021251,0.5742653215114836,0.4657428505093585,['X69']
5589,X28,X22,True,2,0.9987563377730154,0.5742653215114836,0.4244910162615318,['X69']
7410,X37,X43,False,2,0.9830715300291326,0.5735415889861781,0.4095299410429545,['X77']
7411,X37,X43,True,2,0.0891396678285601,0.5735415889861781,0.484401921157618,['X77']
8588,X43,X37,False,2,0.7705589211070168,0.3799165876073342,0.3906423334996826,['X77']
8589,X43,X37,True,2,0.0388209064801301,0.3799165876073342,0.341095681127204,['X77']
4266,X21,X55,False,3,0.5144841641170094,0.2182866061439716,0.2961975579730377,['X88']
4267,X21,X55,True,3,0.0423242356224722,0.2182866061439716,0.1759623705214994,['X88']
10932,X55,X21,False,3,0.7685353051853553,0.6273254236470021,0.1412098815383532,['X63']
10933,X55,X21,True,3,0.1216348766936701,0.6273254236470021,0.5056905469533319,['X63']
8696,X43,X92,False,2,0.1223603615272848,0.3799165876073342,0.2575562260800493,['X77']
8697,X43,X92,True,2,0.5363607597243416,0.3799165876073342,0.1564441721170074,['X77']
18302,X92,X43,False,2,0.4395626596023553,0.625014996741185,0.1854523371388297,['X77']
18303,X92,X43,True,2,0.8443725073652908,0.625014996741185,0.2193575106241058,['X77']
6730,X33,X99,False,3,0.9066144781594252,0.7941207218546349,0.1124937563047904,['X16']
6731,X33,X99,True,3,0.4999208120448669,0.7941207218546349,0.294199909809768,['X16']
19668,X99,X33,False,3,0.6718729187316563,0.2766056225246768,0.3952672962069795,['X3']
19669,X99,X33,True,3,0.1741308337279212,0.2766056225246768,0.1024747887967556,['X3']
2462,X12,X44,False,2,0.7554460191165723,0.2929152657124997,0.4625307534040725,['X53']
2463,X12,X44,True,2,0.0175505614667152,0.2929152657124997,0.2753647042457846,['X53']
8736,X44,X12,False,2,0.8709325555296088,0.6268242318183557,0.2441083237112531,['X53']
8737,X44,X12,True,2,0.0375573365305483,0.6268242318183557,0.5892668952878074,['X53']
12630,X63,X79,False,2,0.8899165558967133,0.8096193902072041,0.0802971656895091,['X88']
12631,X63,X79,True,2,0.0117396113999431,0.8096193902072041,0.7978797788072609,['X88']
15768,X79,X63,False,2,0.4746371790290318,0.0914362033673326,0.3832009756616992,['X88']
15769,X79,X63,True,2,0.0013258466293088,0.0914362033673326,0.0901103567380238,['X88']
3270,X16,X52,False,3,0.069708506573618,0.3097720634750889,0.2400635569014709,['X66']
3271,X16,X52,True,3,0.7422187705493204,0.3097720634750889,0.4324467070742314,['X66']
10328,X52,X16,False,3,0.1333529289215512,0.3570144810529613,0.22366155213141,['X66']
10329,X52,X16,True,3,0.855529514759571,0.3570144810529613,0.4985150337066096,['X66']
7514,X37,X95,False,3,0.7895086534634942,0.5735415889861781,0.215967064477316,['X77']
7515,X37,X95,True,3,0.2241195306491171,0.5735415889861781,0.3494220583370609,['X77']
18884,X95,X37,False,3,0.5702589692718645,0.3367548045581678,0.2335041647136966,['X77']
18885,X95,X37,True,3,0.1362930973269354,0.3367548045581678,0.2004617072312323,['X77']
13066,X65,X99,False,2,0.39312422391229,0.5609600527248643,0.1678358288125742,['X27']
13067,X65,X99,True,2,0.9998936282384838,0.5609600527248643,0.4389335755136195,['X27']
19732,X99,X65,False,2,6.701674150509025e-05,0.2766056225246768,0.2765386057831717,['X27']
