Unnamed: 0,target_var,condition_var,condition_val,cond_target_dist,prob,marginal,condition_influence,scaffold_order
7918,X39,X99,False,2,0.287716684970065,0.696872703494254,0.409156018524189,['X15']
7919,X39,X99,True,2,0.9975829584890008,0.696872703494254,0.3007102549947468,['X15']
19680,X99,X39,False,2,0.0045959094548675,0.5763846428369223,0.5717887333820547,['X15']
19681,X99,X39,True,2,0.8251026254088655,0.5763846428369223,0.2487179825719432,['X15']
9072,X45,X82,False,2,0.6961952028196053,0.4254941836575622,0.2707010191620431,['X41']
9073,X45,X82,True,2,0.192951568850895,0.4254941836575622,0.2325426148066672,['X41']
16326,X82,X45,False,2,0.7556431831281715,0.5379124560945251,0.2177307270336463,['X41']
16327,X82,X45,True,2,0.2439306018608416,0.5379124560945251,0.2939818542336835,['X41']
18004,X90,X93,False,3,0.9844184805885252,0.7926181240957177,0.1918003564928074,['X44']
18005,X90,X93,True,3,0.5433050011957076,0.7926181240957177,0.2493131229000101,['X44']
18594,X93,X90,False,3,0.9575346745979536,0.4348091609831581,0.5227255136147955,['X70']
18595,X93,X90,True,3,0.2980425391268774,0.4348091609831581,0.1367666218562807,['X70']
9048,X45,X70,False,3,0.9030310595210828,0.4254941836575622,0.4775368758635205,['X44']
9049,X45,X70,True,3,0.211185453941542,0.4254941836575622,0.2143087297160202,['X44']
13950,X70,X45,False,3,0.9477159983018724,0.6902359810367749,0.2574800172650975,['X44']
13951,X70,X45,True,3,0.3425849230359523,0.6902359810367749,0.3476510580008226,['X44']
1208,X6,X11,False,2,0.9165216835267894,0.8285940979225558,0.0879275856042336,['X79']
1209,X6,X11,True,2,0.4640473700399256,0.8285940979225558,0.3645467278826301,['X79']
2190,X11,X6,False,2,0.6043959093581073,0.1883912936908047,0.4160046156673025,['X79']
2191,X11,X6,True,2,0.1023351093713517,0.1883912936908047,0.086056184319453,['X79']
4216,X21,X30,False,3,0.3479170811274773,0.2674740082264201,0.0804430729010572,['X89']
4217,X21,X30,True,3,0.0627983471231996,0.2674740082264201,0.2046756611032204,['X89']
5982,X30,X21,False,3,0.3843533050537015,0.3020062834785524,0.082347021575149,['X91']
5983,X30,X21,True,3,0.0749993386002357,0.3020062834785524,0.2270069448783166,['X91']
9264,X46,X79,False,2,0.7639641708053513,0.2602326667950662,0.503731504010285,['X11']
9265,X46,X79,True,2,0.2040062730787761,0.2602326667950662,0.0562263937162901,['X11']
