Unnamed: 0,var1,var2,distance,mutual_information
34,X8,X6,2,0.0974105831015864
3890,X88,X62,2,0.4819084688058392
963,X44,X17,2,0.3109128131669319
1920,X62,X29,2,0.4383701665258513
2078,X64,X62,2,0.1822841071131674
3411,X83,X8,3,0.0335800376930335
2887,X76,X37,2,0.0286663395586008
218,X21,X8,3,0.1945364204355258
2045,X64,X29,2,0.1600961823256647
780,X40,X0,2,0.077717535912486
3846,X88,X18,3,0.0388709050081549
4013,X90,X8,2,0.1995241524133078
2455,X70,X40,3,0.0439126419769997
3857,X88,X29,2,0.4271259891348717
4290,X93,X12,2,0.1486572835401757
2260,X67,X49,2,0.0317133559330024
521,X32,X25,2,0.0451062467186856
4302,X93,X24,3,0.0524153399585621
3956,X89,X40,3,0.0723376813680795
1909,X62,X18,3,0.0394631293829833
601,X35,X6,2,0.2491785248923631
4355,X93,X77,2,0.2311698163819455
3892,X88,X64,2,0.1789960780217497
2527,X71,X42,2,0.0270007600854682
3986,X89,X70,2,0.1567575762517296
