Unnamed: 0,var1,var2,distance,mutual_information
551,X33,X23,2,0.1690056954746963
1828,X60,X58,2,0.0765219271889962
2476,X70,X61,2,0.0824755922151178
3550,X84,X64,2,0.1896975198342138
1513,X55,X28,2,0.0767353979886625
1125,X47,X44,2,0.0263700388521909
625,X35,X30,2,0.0289406098665844
2140,X65,X60,3,0.0400483661783883
3515,X84,X29,4,0.091663941949102
4310,X93,X32,2,0.0257829442526698
2019,X64,X3,3,0.0265963300753215
3489,X84,X3,2,0.0701408040817191
2039,X64,X23,3,0.1679418870466434
531,X33,X3,3,0.0267793307161189
2301,X68,X23,3,0.1626341178643884
1811,X60,X41,2,0.0470408730126388
2138,X65,X58,3,0.1097284692529698
773,X39,X32,3,0.0660040555661929
859,X41,X39,4,0.0248827638332547
512,X32,X16,2,0.0681910517617225
3554,X84,X68,3,0.1832003467002822
2311,X68,X33,2,0.6339704301259793
939,X43,X36,2,0.0276039097779187
139,X17,X3,2,0.0847820646781903
1692,X58,X39,2,0.1070312588344463
