Unnamed: 0,var1,var2,distance,mutual_information
1968,X63,X15,4,0.217472210577313
4768,X98,X15,4,0.2497994828798304
2294,X68,X16,2,0.1014471178447417
2293,X68,X15,3,0.094137478992337
3853,X88,X25,2,0.2457930602784379
2300,X68,X22,2,0.0955663051107173
1944,X62,X53,2,0.0909643938112292
3849,X88,X21,2,0.1824236748850914
1728,X59,X17,2,0.0937050268634292
2548,X71,X63,4,0.092975586130535
4021,X90,X16,4,0.18437986164344
1975,X63,X22,3,0.2190757836103806
202,X20,X12,2,0.2070076046916145
4824,X98,X71,4,0.1088086568798681
4775,X98,X22,3,0.2531002076708041
246,X22,X15,3,0.533607280153777
4027,X90,X22,4,0.1732633651693731
2500,X71,X15,2,0.2146425258285799
3762,X87,X21,3,0.1684233726278288
4816,X98,X63,2,0.3598374236882778
2079,X64,X63,2,0.2315254168672893
2507,X71,X22,3,0.2111077525660295
252,X22,X21,3,0.1356199751476088
2160,X66,X15,3,0.2926134094724935
4069,X90,X64,3,0.1845760803154051
