Unnamed: 0,var1,var2,distance,mutual_information
2255,X67,X44,2,0.0338259335862685
3156,X79,X75,2,0.0160148434200335
1198,X49,X22,2,0.0650602333158894
2571,X72,X15,2,0.018737829340657
913,X43,X10,2,0.0291265230154051
2226,X67,X15,3,0.0181797675176901
2245,X67,X34,3,0.0302274903965822
2749,X74,X48,2,0.1187103841999187
3616,X85,X46,2,0.2850115273417581
1051,X46,X16,3,0.1347538444287154
4905,X99,X54,2,0.1462911009065716
127,X16,X7,2,0.0660138624416971
4184,X91,X89,2,0.0342947868575683
956,X44,X10,3,0.0319295876745861
3675,X86,X20,2,0.0769816180717906
3090,X79,X9,3,0.0157685627206494
3614,X85,X44,3,0.0636708373255699
2095,X65,X15,2,0.0465108748980458
1170,X48,X42,2,0.1953260558301432
1045,X46,X10,2,0.1465150131173217
4555,X95,X90,2,0.0937499850046814
3964,X89,X48,3,0.0183517644468402
1271,X50,X46,2,0.0177136826891785
652,X36,X22,2,0.0938784844482155
2104,X65,X24,2,0.0711835684987874
