Unnamed: 0,var1,var2,distance,mutual_information
3015,X78,X12,2,0.0887008684896572
980,X44,X34,2,0.4615793076271803
3291,X81,X51,2,0.0388676348408432
2666,X73,X38,3,0.0514282445689383
2894,X76,X44,2,0.1455294622135761
1879,X61,X49,2,0.0486916930458061
3033,X78,X30,2,0.1634789334709399
363,X27,X12,2,0.262827301835807
523,X32,X27,3,0.0654794792268599
3041,X78,X38,3,0.0878526727200923
1342,X52,X16,2,0.0238160596359866
365,X27,X14,3,0.1275393894713181
735,X38,X32,2,0.1349395286572227
449,X30,X14,3,0.046745141435256
1997,X63,X44,3,0.0381287302102774
3619,X85,X49,3,0.0394694758102641
686,X37,X20,2,0.0324237887027579
2923,X76,X73,3,0.0323428724252901
1188,X49,X12,3,0.0501931814342189
1981,X63,X28,2,0.0332593157542308
2672,X73,X44,3,0.0837878926264576
1195,X49,X19,2,0.0279625305399026
1860,X61,X30,3,0.0243457867470863
2686,X73,X58,2,0.0988172375827522
2655,X73,X27,4,0.02297842442641
