Unnamed: 0,var1,var2,distance,mutual_information
676,X37,X10,2,0.0499922661312658
458,X30,X23,2,0.565250506809786
2101,X65,X21,2,0.2863043608961361
4689,X97,X33,2,0.1178389656000142
1976,X63,X23,2,0.0501062902944267
2099,X65,X19,2,0.1256465471195103
1358,X52,X32,2,0.0563022314409879
726,X38,X23,2,0.1161274130297601
523,X32,X27,3,0.049266116246223
643,X36,X13,2,0.065513247973908
3762,X87,X21,3,0.28446819556958
828,X41,X8,2,0.0504128690983803
361,X27,X10,2,0.0696863984436682
4588,X96,X28,2,0.0686007694100029
1983,X63,X30,4,0.0445571371947326
1416,X53,X38,3,0.1134351745683446
3721,X86,X66,3,0.1453559612206718
4181,X91,X86,2,0.1466187126182253
1612,X57,X16,2,0.1655988296069387
3817,X87,X76,3,0.0741389520313771
3841,X88,X13,2,0.074380317219579
1570,X56,X30,3,0.1395321726460746
1627,X57,X31,2,0.1236949234565098
229,X21,X19,4,0.0595477720705802
755,X39,X14,2,0.2262297641214749
