Unnamed: 0,var1,var2,distance,mutual_information
1216,X49,X40,2,0.1205933716779031
3247,X81,X7,2,0.1096677622872129
4567,X96,X7,2,0.0343587087407185
1204,X49,X28,2,0.0252796442943533
25,X7,X4,3,0.0386515403134158
392,X28,X14,2,0.1469426477132336
1471,X54,X40,3,0.0772081603172064
1450,X54,X19,2,0.2004316666878951
3811,X87,X70,2,0.1416060697915094
3923,X89,X7,2,0.0468061178151794
4380,X94,X9,2,0.0583994230307149
2640,X73,X12,2,0.0483168183660426
1923,X62,X32,2,0.2287010636860492
1409,X53,X31,2,0.0345401606773673
3973,X89,X57,2,0.0235468268737345
2240,X67,X29,2,0.023399491088688
4629,X96,X69,2,0.0983775771050831
2077,X64,X61,3,0.0222463040599609
1873,X61,X43,2,0.0801087575958456
3441,X83,X38,2,0.1212683093133639
1319,X51,X44,2,0.1022788288885636
550,X33,X22,2,0.1113208744946633
1184,X49,X8,3,0.1118155753775679
4636,X96,X76,2,0.0364549753806188
3672,X86,X17,2,0.0881550797032688
