Unnamed: 0,var1,var2,distance,mutual_information
487,X31,X22,2,0.0373225473025309
2370,X69,X24,2,0.0490615276592626
3532,X84,X46,2,0.0223036781285915
724,X38,X21,2,0.0365910855123056
3533,X84,X47,3,0.0326208601394826
2556,X72,X0,2,0.0416782468824726
2350,X69,X4,2,0.0443591210827301
4515,X95,X50,2,0.0411105035662616
1513,X55,X28,2,0.1041260390481794
498,X32,X2,2,0.0231992359458515
1143,X48,X15,2,0.0576970753368258
1180,X49,X4,3,0.0372871005085338
1523,X55,X38,2,0.0511850077361962
542,X33,X14,2,0.1466443026539571
3541,X84,X55,2,0.046791938454372
1480,X54,X49,2,0.0290975439380074
1152,X48,X24,2,0.0839542268553927
2414,X69,X68,2,0.038773921863103
4112,X91,X17,2,0.0512822146496452
4947,X99,X96,2,0.0471625129833652
3562,X84,X76,2,0.043886441393307
1113,X47,X32,2,0.0608650938702595
3191,X80,X31,3,0.030378979113154
3507,X84,X21,2,0.2762260721004188
367,X27,X16,2,0.0690331291488478
