Unnamed: 0,var1,var2,distance,mutual_information
425,X29,X19,3,0.0353933822964118
3138,X79,X57,2,0.0430662316464567
904,X43,X1,2,0.0284774063396628
3183,X80,X23,2,0.1285920257704137
2347,X69,X1,2,0.033145023121341
3065,X78,X62,2,0.0448266852921985
924,X43,X21,3,0.0545621438868284
782,X40,X2,3,0.096838559517359
1532,X55,X47,2,0.0801713099106073
4024,X90,X19,2,0.0995364607231305
4188,X92,X2,2,0.0292978696293661
1487,X55,X2,2,0.3244567428706472
1083,X47,X2,2,0.1212602553247494
1384,X53,X6,2,0.1655356088778317
1504,X55,X19,3,0.0689146608440652
408,X29,X2,2,0.1561559492977194
1613,X57,X17,3,0.0889027379510159
908,X43,X5,2,0.0686019011468411
159,X18,X6,2,0.1841881402481309
2389,X69,X43,2,0.0705979775296544
1396,X53,X18,2,0.1301022589342733
274,X23,X21,2,0.1312646540475676
4045,X90,X40,2,0.0975991063505723
272,X23,X19,2,0.0949615278065186
296,X24,X20,2,0.0892401989486233
