Unnamed: 0,var1,var2,distance,mutual_information
2326,X68,X48,2,0.051280198463377
1137,X48,X9,3,0.0479117333477668
3204,X80,X44,2,0.0338840168086138
4374,X94,X3,2,0.0306387649963641
147,X17,X11,2,0.0231300732776606
309,X25,X9,2,0.0493397172319585
3394,X82,X73,2,0.0378920393961907
1059,X46,X24,2,0.0570770208874342
302,X25,X2,2,0.0334918286549104
831,X41,X11,3,0.0487417668617616
2678,X73,X50,3,0.0375496640030918
1590,X56,X50,2,0.0941492896365633
4310,X93,X32,3,0.0314598207596219
3880,X88,X52,2,0.6820770342935022
4328,X93,X50,2,0.074159622744788
1245,X50,X20,2,0.0269193744821702
3329,X82,X8,3,0.0233404449088878
2522,X71,X37,2,0.0227875468573866
4036,X90,X31,2,0.4532349344532476
1233,X50,X8,4,0.0231441697087002
3366,X82,X45,2,0.0739246997721648
3285,X81,X45,2,0.0940459076838147
38,X9,X2,2,0.0330398128976814
2225,X67,X14,2,0.037122823638362
129,X16,X9,2,0.028479837807855
