Unnamed: 0,var1,var2,distance,mutual_information
1111,X47,X30,2,0.0119420295149215
3679,X86,X24,3,0.2230535466029544
30,X8,X2,2,0.0252013517459617
3663,X86,X8,2,0.2731337711526432
855,X41,X35,2,0.0700245934465936
2093,X65,X13,3,0.0167434064534118
1724,X59,X13,4,0.0166864878462882
3714,X86,X59,2,0.0589356607600479
1773,X60,X3,2,0.0608267343008691
3551,X84,X65,2,0.0337164203816589
166,X18,X13,2,0.0162769778923977
289,X24,X13,2,0.2323511843937673
3488,X84,X2,3,0.0226880179231019
3499,X84,X13,2,0.2654632986455599
2104,X65,X24,4,0.0258561897990829
2286,X68,X8,2,0.0113675421404205
3673,X86,X18,3,0.0157229770282786
2273,X67,X62,2,0.031843787560195
3657,X86,X2,4,0.0133775848858056
3976,X89,X60,2,0.0263839245400921
3545,X84,X59,3,0.0336005099698902
3534,X84,X48,2,0.0142818391773953
460,X30,X25,2,0.0178746138001446
2088,X65,X8,3,0.0308739578768075
3951,X89,X35,3,0.0259360480182137
