Unnamed: 0,var1,var2,distance,mutual_information
1920,X62,X29,2,0.2796474022831216
1902,X62,X11,4,0.0315265567031563
3404,X83,X1,2,0.0281769152730686
2608,X72,X52,2,0.2221869263957663
415,X29,X9,2,0.1323693163224818
1910,X62,X19,3,0.03982171240182
867,X42,X6,2,0.0428581276345024
4783,X98,X30,2,0.263040464486923
171,X19,X0,2,0.0673602576208581
1603,X57,X7,2,0.1527972772736851
2816,X75,X41,2,0.0673882852304204
1865,X61,X35,2,0.0330191037370155
1900,X62,X9,4,0.0653068264347756
4037,X90,X32,2,0.0777530867215161
802,X40,X22,2,0.0531132213957454
1236,X50,X11,3,0.0535455911943015
848,X41,X28,2,0.1179211128687315
55,X11,X0,3,0.0522741376415152
301,X25,X1,2,0.1839674805839712
2443,X70,X28,3,0.0716546755726331
1225,X50,X0,2,0.4434605669265712
2584,X72,X28,4,0.0641214764985408
1248,X50,X23,4,0.0513691796679868
1234,X50,X9,3,0.1127329296331285
417,X29,X11,2,0.0632485086200116
