Unnamed: 0,var1,var2,distance,mutual_information
2031,X64,X15,3,0.1030278842647956
191,X20,X1,2,0.0094172299193587
48,X10,X3,3,0.0170642099696091
265,X23,X12,2,0.1425950988512889
4892,X99,X41,2,0.0219409551505696
3958,X89,X42,2,0.0120057641763577
4334,X93,X56,2,0.074408828483265
4722,X97,X66,2,0.0200490012122321
2748,X74,X47,2,0.1242010570250965
1543,X56,X3,2,0.0411886319670297
3187,X80,X27,2,0.0113050478828053
2767,X74,X66,2,0.0528905799788913
1546,X56,X6,2,0.0168716542437735
2223,X67,X12,3,0.0402973972810178
4897,X99,X46,2,0.0154276022540433
388,X28,X10,2,0.1126878703752992
2192,X66,X47,2,0.0203439066249944
222,X21,X12,2,0.017258478851542
310,X25,X10,2,0.0373023283591011
2943,X77,X17,2,0.0275165043308296
3136,X79,X55,3,0.015391103085602
1341,X52,X15,2,0.2471166453304182
4703,X97,X47,2,0.0613837282565336
4341,X93,X63,2,0.0270310639171241
1824,X60,X54,2,0.0175964268106639
