Unnamed: 0,var1,var2,distance,mutual_information
578,X34,X17,2,0.0433552716181599
2780,X75,X5,2,0.0363122284920807
4948,X99,X97,3,0.0556091018502983
2625,X72,X69,2,0.0326025548925751
285,X24,X9,2,0.0440551930079697
611,X35,X16,2,0.0366205591742977
3229,X80,X69,3,0.0280259529615356
3810,X87,X69,4,0.0206288613653082
3177,X80,X17,2,0.0343887362181572
4860,X99,X9,4,0.0268484869550217
4112,X91,X17,3,0.0311970872714458
3326,X82,X5,2,0.0219266553793713
59,X11,X4,2,0.0467317664208709
2576,X72,X20,2,0.0525332439498354
3169,X80,X9,2,0.0422480177155935
1145,X48,X17,3,0.019314822026497
4938,X99,X87,3,0.2144636750383944
4875,X99,X24,4,0.1594562338666675
1613,X57,X17,2,0.0338727590984312
748,X39,X7,2,0.0330724164208058
2913,X76,X63,2,0.0360476075730893
2011,X63,X58,3,0.0282774044701097
2827,X75,X52,2,0.1800164733951745
3180,X80,X20,3,0.0484620234150284
3731,X86,X76,2,0.0275666247678723
