Unnamed: 0,var1,var2,distance,mutual_information
1385,X53,X7,3,0.2414572960208995
1886,X61,X56,2,0.2214183177908286
346,X26,X21,2,0.2617869342699754
3230,X80,X70,3,0.127411301768291
3181,X80,X21,3,0.2617159527689683
1387,X53,X9,2,0.3398545672394133
2094,X65,X14,3,0.085904115458095
1183,X49,X7,4,0.1805081078366088
1265,X50,X40,2,0.229298384751542
4706,X97,X50,2,0.1569317941636142
3174,X80,X14,2,0.6622759401092403
1917,X62,X26,2,0.2090177444274479
1214,X49,X38,2,0.4157324044309626
1691,X58,X38,3,0.1953704756706952
2727,X74,X26,3,0.126476364299479
334,X26,X9,2,0.0809970685419796
1912,X62,X21,4,0.0952382883098401
1588,X56,X48,2,0.3060513337494366
2480,X70,X65,2,0.3548928873836456
2460,X70,X45,2,0.0893640224394294
812,X40,X32,3,0.1402318532914286
1339,X52,X13,2,0.1743891561627409
496,X32,X0,2,0.2694575707799816
710,X38,X7,2,0.2793567211008737
3152,X79,X71,2,0.1349679805557372
