Unnamed: 0,var1,var2,distance,mutual_information
3199,X80,X39,2,0.0535878800390948
4688,X97,X32,2,0.2496613217243282
2611,X72,X55,3,0.1496032368933185
3198,X80,X38,2,0.0592181417734532
2135,X65,X55,2,0.1814670073763985
148,X17,X12,3,0.1271882324717383
4598,X96,X38,2,0.0702072687996858
779,X39,X38,2,0.0358593455994294
3015,X78,X12,2,0.1928101209227928
842,X41,X22,2,0.3018378103627972
2812,X75,X37,2,0.0512957020854385
2840,X75,X65,3,0.027671701661284
3711,X86,X56,2,0.0523495890797138
840,X41,X20,2,0.0276733382720562
2246,X67,X35,2,0.0405183855944382
4737,X97,X81,3,0.2496214341843666
4295,X93,X17,2,0.1916282089430371
1651,X57,X55,3,0.0308587742178495
4599,X96,X39,2,0.085637084884475
848,X41,X28,2,0.0340502371982056
3860,X88,X32,3,0.0469921825615056
4745,X97,X89,3,0.1002050944272985
4459,X94,X88,4,0.0468825156511271
2915,X76,X65,2,0.3294642942587371
4084,X90,X79,2,0.0858715577461629
