Unnamed: 0,var1,var2,distance,mutual_information
3288,X81,X48,3,0.0395724260035674
1526,X55,X41,2,0.0697120373285826
645,X36,X15,2,0.235351315951663
2925,X76,X75,2,0.0522814497857739
371,X27,X20,2,0.0850344784882559
602,X35,X7,3,0.0881096808948626
3933,X89,X17,2,0.1161421473299279
4168,X91,X73,2,0.1152960896508048
962,X44,X16,2,0.0384198475612143
1302,X51,X27,2,0.1325922112898644
3122,X79,X41,2,0.3326263865468799
2636,X73,X8,2,0.0440405104853442
2744,X74,X43,2,0.0581539707416466
2902,X76,X52,2,0.0473170973213461
847,X41,X27,3,0.0828866870084334
599,X35,X4,3,0.0750430379851455
532,X33,X4,2,0.2576367269428127
3135,X79,X54,2,0.0515695137123159
4570,X96,X10,2,0.0852136623108758
3338,X82,X17,2,0.0492214164745438
3136,X79,X55,2,0.04820806380195
2850,X76,X0,3,0.0433168071466947
4374,X94,X3,2,0.1827926632819277
3989,X89,X73,3,0.0648564216156551
4769,X98,X16,2,0.0736224829091375
