Unnamed: 0,var1,var2,distance,mutual_information
1875,X61,X45,2,0.1471362055335825
3205,X80,X45,3,0.1478657933339974
1959,X63,X6,3,0.2310430852807243
2784,X75,X9,2,0.2553799523474498
1945,X62,X54,2,0.180392268573476
968,X44,X22,2,0.1779230228758609
373,X27,X22,3,0.1704894126202537
3221,X80,X61,3,0.1534862437012731
1003,X45,X13,2,0.4175472184001404
1881,X61,X51,2,0.1598496392209045
374,X27,X23,2,0.2816833028225028
1868,X61,X38,4,0.1274086864420548
1836,X61,X6,2,0.3244745719488117
3204,X80,X44,2,0.2959665168157364
364,X27,X13,4,0.1982301007280415
959,X44,X13,3,0.2042897108975979
1853,X61,X23,2,0.146731402260419
730,X38,X27,2,0.2361069126778772
126,X16,X6,3,0.4087960268182583
3597,X85,X27,3,0.1286435789122081
1846,X61,X16,3,0.211162061839975
259,X23,X6,2,0.2947804164072617
3176,X80,X16,4,0.1725585099695361
133,X16,X13,5,0.1412080288714243
1857,X61,X27,2,0.3181381700257007
