Unnamed: 0,var1,var2,distance,mutual_information
3209,X80,X49,2,0.050992364587425
3333,X82,X12,2,0.5162768485156405
1713,X59,X2,3,0.0908471747754481
783,X40,X3,2,0.3973914632036965
3498,X84,X12,4,0.1869009115529398
4851,X99,X0,2,0.0858637390424297
782,X40,X2,4,0.0593378669380141
4411,X94,X40,2,0.4034010714352299
3714,X86,X59,4,0.1280912211603843
2166,X66,X21,2,0.1119095969297934
4374,X94,X3,2,0.6161275611712018
3,X3,X0,4,0.1295479948786792
4842,X98,X89,2,0.1159954738418246
3494,X84,X8,3,0.2236258772412591
780,X40,X0,4,0.089775826097715
2209,X66,X64,2,0.0948544640521443
279,X24,X3,3,0.5049606046277322
1838,X61,X8,2,0.2296737642196742
1812,X60,X42,2,0.078947705032797
3611,X85,X41,2,0.6020134881161163
4490,X95,X25,2,0.1031118088219462
4457,X94,X86,3,0.1316415332148877
4220,X92,X34,2,0.0973620432846798
3695,X86,X40,5,0.0860178432275915
804,X40,X24,3,0.3445028211659402
