,Unnamed: 0,target_var,condition_var,condition_val,cond_target_dist,prob,marginal,condition_influence,type,prob_std,prop_valid,n_intermediate,prop_d_separating,all_intermediate_vars,checkpoint,checkpoint_idx
0,0.0,X0,X1,0,8.0,0.7498835989348194,0.7498835989348194,0.0,true,,,,,,,
1,1.0,X0,X1,1,8.0,0.7498835989348194,0.7498835989348194,0.0,true,,,,,,,
2,2.0,X0,X2,0,3.0,0.7498835989348194,0.7498835989348194,0.0,true,,,,,,,
3,3.0,X0,X2,1,3.0,0.7498835989348194,0.7498835989348194,0.0,true,,,,,,,
4,4.0,X0,X3,0,5.0,0.7499744230790362,0.7498835989348194,9.082414421679452e-05,true,,,,,,,
5,5.0,X0,X3,1,5.0,0.7498810287798622,0.7498835989348194,2.5701549571932603e-06,true,,,,,,,
6,6.0,X0,X4,0,2.0,0.7403860253844521,0.7498835989348194,0.0094975735503672,true,,,,,,,
7,7.0,X0,X4,1,2.0,0.7678876133607616,0.7498835989348194,0.0180040144259422,true,,,,,,,
8,8.0,X0,X5,0,6.0,0.7498835989348194,0.7498835989348194,0.0,true,,,,,,,
9,9.0,X0,X5,1,6.0,0.7498835989348194,0.7498835989348194,0.0,true,,,,,,,
10,10.0,X0,X6,0,3.0,0.7498835989348194,0.7498835989348194,0.0,true,,,,,,,
11,11.0,X0,X6,1,3.0,0.7498835989348194,0.7498835989348194,0.0,true,,,,,,,
12,12.0,X0,X7,0,12.0,0.7498835989348194,0.7498835989348194,0.0,true,,,,,,,
13,13.0,X0,X7,1,12.0,0.7498835989348194,0.7498835989348194,0.0,true,,,,,,,
14,14.0,X0,X8,0,4.0,0.7498835989348194,0.7498835989348194,0.0,true,,,,,,,
15,15.0,X0,X8,1,4.0,0.7498835989348194,0.7498835989348194,0.0,true,,,,,,,
16,16.0,X0,X9,0,6.0,0.7498810834561567,0.7498835989348194,2.515478662701298e-06,true,,,,,,,
17,17.0,X0,X9,1,6.0,0.7499280257079229,0.7498835989348194,4.442677310356746e-05,true,,,,,,,
18,18.0,X0,X10,0,13.0,0.7498835989348194,0.7498835989348194,0.0,true,,,,,,,
19,19.0,X0,X10,1,13.0,0.7498835989348194,0.7498835989348194,0.0,true,,,,,,,
20,20.0,X0,X11,0,4.0,0.7427264148718815,0.7498835989348194,0.0071571840629378,true,,,,,,,
21,21.0,X0,X11,1,4.0,0.7506489228503419,0.7498835989348194,0.0007653239155225,true,,,,,,,
22,22.0,X0,X12,0,6.0,0.7498835989348194,0.7498835989348194,0.0,true,,,,,,,
23,23.0,X0,X12,1,6.0,0.7498835989348194,0.7498835989348194,0.0,true,,,,,,,
24,24.0,X0,X13,0,1.0,0.7392061566489152,0.7498835989348194,0.0106774422859041,true,,,,,,,
25,25.0,X0,X13,1,1.0,0.8472760348991168,0.7498835989348194,0.0973924359642974,true,,,,,,,
26,26.0,X0,X14,0,8.0,0.7498835989348194,0.7498835989348194,0.0,true,,,,,,,
27,27.0,X0,X14,1,8.0,0.7498835989348194,0.7498835989348194,0.0,true,,,,,,,
28,28.0,X0,X15,0,1.0,0.4121534553019497,0.7498835989348194,0.3377301436328696,true,,,,,,,
29,29.0,X0,X15,1,1.0,0.9987070348197944,0.7498835989348194,0.2488234358849751,true,,,,,,,
30,30.0,X0,X16,0,7.0,0.7498835989348194,0.7498835989348194,0.0,true,,,,,,,
31,31.0,X0,X16,1,7.0,0.7498835989348194,0.7498835989348194,0.0,true,,,,,,,
32,32.0,X0,X17,0,3.0,0.7498835989348194,0.7498835989348194,0.0,true,,,,,,,
33,33.0,X0,X17,1,3.0,0.7498835989348194,0.7498835989348194,0.0,true,,,,,,,
34,34.0,X0,X18,0,-1.0,0.7498835989348194,0.7498835989348194,0.0,true,,,,,,,
35,35.0,X0,X18,1,-1.0,0.7498835989348194,0.7498835989348194,0.0,true,,,,,,,
36,36.0,X0,X19,0,-1.0,0.7498835989348194,0.7498835989348194,0.0,true,,,,,,,
37,37.0,X0,X19,1,-1.0,0.7498835989348194,0.7498835989348194,0.0,true,,,,,,,
38,38.0,X0,X20,0,2.0,0.7498835989348194,0.7498835989348194,0.0,true,,,,,,,
39,39.0,X0,X20,1,2.0,0.7498835989348194,0.7498835989348194,0.0,true,,,,,,,
40,40.0,X0,X21,0,5.0,0.7498835989348194,0.7498835989348194,0.0,true,,,,,,,
41,41.0,X0,X21,1,5.0,0.7498835989348194,0.7498835989348194,0.0,true,,,,,,,
42,42.0,X0,X22,0,10.0,0.7498835989348194,0.7498835989348194,0.0,true,,,,,,,
43,43.0,X0,X22,1,10.0,0.7498835989348194,0.7498835989348194,0.0,true,,,,,,,
44,44.0,X0,X23,0,7.0,0.7498835989348194,0.7498835989348194,0.0,true,,,,,,,
45,45.0,X0,X23,1,7.0,0.7498835989348194,0.7498835989348194,0.0,true,,,,,,,
