,target_var,condition_var,condition_val,cond_target_dist,prob,marginal,condition_influence
0,X0,X1,False,4,0.287111186766758,0.2871111867667579,1.1102230246251565e-16
1,X0,X1,True,4,0.2871111867667579,0.2871111867667579,0.0
2,X0,X2,False,6,0.28711118676675795,0.2871111867667579,5.551115123125783e-17
3,X0,X2,True,6,0.287111186766758,0.2871111867667579,1.1102230246251565e-16
4,X0,X3,False,7,0.28711118676675795,0.2871111867667579,5.551115123125783e-17
5,X0,X3,True,7,0.287111186766758,0.2871111867667579,1.1102230246251565e-16
6,X0,X4,False,3,0.7453574041934184,0.2871111867667579,0.45824621742666055
7,X0,X4,True,3,0.2530489107734703,0.2871111867667579,0.034062275993287594
8,X0,X5,False,6,0.287111186766758,0.2871111867667579,1.1102230246251565e-16
9,X0,X5,True,6,0.287111186766758,0.2871111867667579,1.1102230246251565e-16
10,X0,X6,False,-1,0.2871111867667579,0.2871111867667579,0.0
11,X0,X6,True,-1,0.2871111867667579,0.2871111867667579,0.0
12,X0,X7,False,6,0.2871111867667579,0.2871111867667579,0.0
13,X0,X7,True,6,0.287111186766758,0.2871111867667579,1.1102230246251565e-16
14,X0,X8,False,6,0.28711118676675795,0.2871111867667579,5.551115123125783e-17
15,X0,X8,True,6,0.28711118676675795,0.2871111867667579,5.551115123125783e-17
16,X0,X9,False,5,0.2871111867667578,0.2871111867667579,1.1102230246251565e-16
17,X0,X9,True,5,0.287111186766758,0.2871111867667579,1.1102230246251565e-16
18,X0,X10,False,7,0.287111186766758,0.2871111867667579,1.1102230246251565e-16
19,X0,X10,True,7,0.2871111867667579,0.2871111867667579,0.0
20,X0,X11,False,4,0.28711118676675795,0.2871111867667579,5.551115123125783e-17
21,X0,X11,True,4,0.287111186766758,0.2871111867667579,1.1102230246251565e-16
22,X0,X12,False,4,0.28711118676675795,0.2871111867667579,5.551115123125783e-17
23,X0,X12,True,4,0.28711118676675795,0.2871111867667579,5.551115123125783e-17
24,X0,X13,False,3,0.28711118676675795,0.2871111867667579,5.551115123125783e-17
25,X0,X13,True,3,0.287111186766758,0.2871111867667579,1.1102230246251565e-16
26,X0,X14,False,4,0.287111186766758,0.2871111867667579,1.1102230246251565e-16
27,X0,X14,True,4,0.287111186766758,0.2871111867667579,1.1102230246251565e-16
28,X0,X15,False,7,0.287111186766758,0.2871111867667579,1.1102230246251565e-16
29,X0,X15,True,7,0.2871111867667579,0.2871111867667579,0.0
30,X0,X16,False,5,0.287111186766758,0.2871111867667579,1.1102230246251565e-16
31,X0,X16,True,5,0.287111186766758,0.2871111867667579,1.1102230246251565e-16
32,X0,X17,False,2,0.7689999049436996,0.2871111867667579,0.48188871817694173
33,X0,X17,True,2,0.25266323119147666,0.2871111867667579,0.03444795557528124
34,X0,X18,False,-1,0.2871111867667579,0.2871111867667579,0.0
35,X0,X18,True,-1,0.2871111867667579,0.2871111867667579,0.0
36,X0,X19,False,5,0.28711118676675795,0.2871111867667579,5.551115123125783e-17
37,X0,X19,True,5,0.28711118676675795,0.2871111867667579,5.551115123125783e-17
38,X0,X20,False,-1,0.2871111867667579,0.2871111867667579,0.0
39,X0,X20,True,-1,0.2871111867667579,0.2871111867667579,0.0
40,X0,X21,False,3,0.2637030325989273,0.2871111867667579,0.023408154167830597
41,X0,X21,True,3,0.29970150155980524,0.2871111867667579,0.012590314793047341
42,X0,X22,False,9,0.28711118676675806,0.2871111867667579,1.6653345369377348e-16
43,X0,X22,True,9,0.28711118676675795,0.2871111867667579,5.551115123125783e-17
44,X0,X23,False,7,0.28711118676675795,0.2871111867667579,5.551115123125783e-17
45,X0,X23,True,7,0.287111186766758,0.2871111867667579,1.1102230246251565e-16
46,X0,X24,False,4,0.287111186766758,0.2871111867667579,1.1102230246251565e-16
47,X0,X24,True,4,0.287111186766758,0.2871111867667579,1.1102230246251565e-16
48,X0,X25,False,5,0.28711118676675795,0.2871111867667579,5.551115123125783e-17
49,X0,X25,True,5,0.28711118676675795,0.2871111867667579,5.551115123125783e-17
50,X0,X26,False,1,0.37242033231215516,0.2871111867667579,0.08530914554539726
51,X0,X26,True,1,0.23033832411860747,0.2871111867667579,0.05677286264815043
52,X0,X27,False,6,0.28711118676675795,0.2871111867667579,5.551115123125783e-17
53,X0,X27,True,6,0.287111186766758,0.2871111867667579,1.1102230246251565e-16
54,X0,X28,False,-1,0.2871111867667579,0.2871111867667579,0.0
55,X0,X28,True,-1,0.2871111867667579,0.2871111867667579,0.0
56,X0,X29,False,2,0.2341609437239898,0.2871111867667579,0.0529502430427681
57,X0,X29,True,2,0.31899001140436545,0.2871111867667579,0.03187882463760755
58,X0,X30,False,6,0.28711118676675795,0.2871111867667579,5.551115123125783e-17
59,X0,X30,True,6,0.28711118676675795,0.2871111867667579,5.551115123125783e-17
