,var1,var2,distance,mutual_information
0,X1,X0,6,0.0
1,X2,X0,5,1.9366145713711324e-10
2,X2,X1,7,0.0
3,X3,X0,7,4.1766172157597117e-10
4,X3,X1,8,0.0
5,X3,X2,4,0.02402247862288242
6,X4,X0,6,0.0
7,X4,X1,3,3.119260181218557e-05
8,X4,X2,4,0.0
9,X4,X3,5,0.0
10,X5,X0,-1,0.0
11,X5,X1,-1,0.0
12,X5,X2,-1,0.0
13,X5,X3,-1,0.0
14,X5,X4,-1,0.0
15,X6,X0,-1,0.0
16,X6,X1,-1,0.0
17,X6,X2,-1,0.0
18,X6,X3,-1,0.0
19,X6,X4,-1,0.0
20,X6,X5,-1,0.0
21,X7,X0,5,1.0909717450664626e-07
22,X7,X1,5,0.0
23,X7,X2,6,0.0
24,X7,X3,10,0.0
25,X7,X4,8,0.0
26,X7,X5,-1,0.0
27,X7,X6,-1,0.0
28,X8,X0,1,0.00015870850010697013
29,X8,X1,7,0.0
30,X8,X2,5,5.694171351220183e-14
31,X8,X3,6,1.2280224309157728e-13
32,X8,X4,5,0.0
33,X8,X5,-1,0.0
34,X8,X6,-1,0.0
35,X8,X7,6,3.263272719766437e-11
36,X9,X0,6,0.0
37,X9,X1,12,0.0
38,X9,X2,11,0.0
39,X9,X3,13,0.0
40,X9,X4,12,0.0
41,X9,X5,-1,0.0
42,X9,X6,-1,0.0
43,X9,X7,11,0.0
44,X9,X8,7,0.0
45,X10,X0,-1,0.0
46,X10,X1,-1,0.0
47,X10,X2,-1,0.0
48,X10,X3,-1,0.0
49,X10,X4,-1,0.0
50,X10,X5,-1,0.0
51,X10,X6,-1,0.0
52,X10,X7,-1,0.0
53,X10,X8,-1,0.0
54,X10,X9,-1,0.0
55,X11,X0,3,0.022497414634898603
56,X11,X1,3,0.0
57,X11,X2,4,0.0
58,X11,X3,8,0.0
59,X11,X4,6,0.0
60,X11,X5,-1,0.0
61,X11,X6,-1,0.0
62,X11,X7,2,1.2704813959308031e-06
63,X11,X8,4,1.0002838342873884e-05
64,X11,X9,9,0.0
65,X11,X10,-1,0.0
66,X12,X0,7,8.635811915178016e-05
67,X12,X1,1,0.029548303278124438
68,X12,X2,8,0.0
69,X12,X3,9,0.0
70,X12,X4,4,1.2220689518780575e-06
71,X12,X5,-1,0.0
72,X12,X6,-1,0.0
73,X12,X7,4,3.796691351159582e-06
74,X12,X8,8,2.3693027247789845e-08
75,X12,X9,13,0.0
76,X12,X10,-1,0.0
77,X12,X11,4,0.0019292103139113164
78,X13,X0,7,0.0
79,X13,X1,2,4.244054559861309e-05
80,X13,X2,5,0.0
81,X13,X3,6,0.0
82,X13,X4,1,0.42445160420960437
83,X13,X5,-1,0.0
84,X13,X6,-1,0.0
85,X13,X7,7,0.0
86,X13,X8,6,0.0
87,X13,X9,13,0.0
88,X13,X10,-1,0.0
89,X13,X11,5,0.0
90,X13,X12,3,1.6613320125801042e-06
91,X14,X0,4,0.0
92,X14,X1,6,0.0
93,X14,X2,3,0.0
94,X14,X3,7,0.0
95,X14,X4,7,0.0
96,X14,X5,-1,0.0
97,X14,X6,-1,0.0
98,X14,X7,5,0.0
99,X14,X8,5,0.0
100,X14,X9,10,0.0
101,X14,X10,-1,0.0
102,X14,X11,3,0.0
103,X14,X12,7,0.0
104,X14,X13,8,0.0
105,X15,X0,4,0.0
106,X15,X1,10,0.0
107,X15,X2,9,0.0
108,X15,X3,11,0.0
109,X15,X4,10,0.0
110,X15,X5,-1,0.0
111,X15,X6,-1,0.0
112,X15,X7,9,0.0
113,X15,X8,5,0.0
114,X15,X9,2,0.02835608810296375
115,X15,X10,-1,0.0
116,X15,X11,7,0.0
117,X15,X12,11,0.0
118,X15,X13,11,0.0
119,X15,X14,8,0.0
120,X16,X0,3,0.00045355651271003234
121,X16,X1,5,0.0
122,X16,X2,4,0.0
123,X16,X3,8,0.0
124,X16,X4,8,0.0
125,X16,X5,-1,0.0
126,X16,X6,-1,0.0
127,X16,X7,4,1.673521111296796e-08
128,X16,X8,4,1.2416918639946608e-07
129,X16,X9,9,0.0
130,X16,X10,-1,0.0
131,X16,X11,2,0.007943734447761332
132,X16,X12,6,1.232592973116444e-05
133,X16,X13,7,0.0
134,X16,X14,3,0.0
135,X16,X15,7,0.0
136,X17,X0,3,1.620321833757543e-05
137,X17,X1,7,0.0
138,X17,X2,6,0.0
139,X17,X3,7,0.0
140,X17,X4,6,0.0
141,X17,X5,-1,0.0
142,X17,X6,-1,0.0
143,X17,X7,6,0.0
144,X17,X8,4,4.415120609189181e-09
145,X17,X9,9,0.0
146,X17,X10,-1,0.0
147,X17,X11,4,0.0
148,X17,X12,8,0.0
149,X17,X13,7,0.0
150,X17,X14,5,0.0
151,X17,X15,7,0.0
152,X17,X16,4,0.0
153,X18,X0,2,0.0
154,X18,X1,8,0.0
155,X18,X2,7,0.0
156,X18,X3,9,0.0
157,X18,X4,8,0.0
158,X18,X5,-1,0.0
159,X18,X6,-1,0.0
160,X18,X7,7,0.0
161,X18,X8,3,0.0
162,X18,X9,4,5.98320502842562e-06
163,X18,X10,-1,0.0
164,X18,X11,5,0.0
165,X18,X12,9,0.0
166,X18,X13,9,0.0
167,X18,X14,6,0.0
168,X18,X15,2,8.732727455424699e-05
169,X18,X16,5,0.0
