,var1,var2,distance,mutual_information
0,X1,X0,10,8.512849583840143e-14
1,X2,X0,11,3.848941217322391e-14
2,X2,X1,5,0.0002295465051057456
3,X3,X0,5,4.713423816093609e-10
4,X3,X1,6,8.974624947159391e-05
5,X3,X2,6,4.049993524747088e-05
6,X4,X0,4,9.501424647353105e-07
7,X4,X1,9,0.0
8,X4,X2,9,0.0
9,X4,X3,3,0.0
10,X5,X0,5,0.0
11,X5,X1,11,0.0
12,X5,X2,11,0.0
13,X5,X3,5,0.0
14,X5,X4,4,0.0
15,X6,X0,9,5.109966074319789e-13
16,X6,X1,5,0.00010304764689906577
17,X6,X2,4,4.749173970984642e-05
18,X6,X3,4,0.00049919998892914
19,X6,X4,7,0.0
20,X6,X5,9,0.0
21,X7,X0,6,5.129884202199257e-17
22,X7,X1,8,0.0
23,X7,X2,7,0.0
24,X7,X3,3,1.3799848466948997e-10
25,X7,X4,6,0.0
26,X7,X5,6,0.0
27,X7,X6,5,0.0
28,X8,X0,6,4.6695947923814925e-12
29,X8,X1,7,0.0
30,X8,X2,9,0.0
31,X8,X3,3,3.561221929642051e-06
32,X8,X4,6,0.0
33,X8,X5,7,0.0
34,X8,X6,7,0.0
35,X8,X7,6,0.0
36,X9,X0,-1,0.0
37,X9,X1,-1,0.0
38,X9,X2,-1,0.0
39,X9,X3,-1,0.0
40,X9,X4,-1,0.0
41,X9,X5,-1,0.0
42,X9,X6,-1,0.0
43,X9,X7,-1,0.0
44,X9,X8,-1,0.0
45,X10,X0,8,1.423797091249726e-11
46,X10,X1,4,0.003302800804448676
47,X10,X2,3,0.001398796018178803
48,X10,X3,3,0.01706420996960917
49,X10,X4,6,0.0
50,X10,X5,8,0.0
51,X10,X6,1,0.02763491656127553
52,X10,X7,4,0.0
53,X10,X8,6,0.0
54,X10,X9,-1,0.0
55,X11,X0,6,1.3373297899083402e-13
56,X11,X1,4,0.0
57,X11,X2,7,0.0
58,X11,X3,2,0.00014192017338740277
59,X11,X4,5,0.0
60,X11,X5,7,0.0
61,X11,X6,6,0.0
62,X11,X7,5,0.0
63,X11,X8,3,0.00035044927504926035
64,X11,X9,-1,0.0
65,X11,X10,5,0.0
66,X12,X0,6,2.5585900771928638e-05
67,X12,X1,10,1.9339926382346605e-09
68,X12,X2,10,8.515506953285742e-10
