,var1,var2,distance,mutual_information
0,X1,X0,4,0.0003206846860448979
1,X2,X0,-1,0.0
2,X2,X1,-1,0.0
3,X3,X0,6,1.7622883929878107e-16
4,X3,X1,2,0.00025987205301910383
5,X3,X2,-1,0.0
6,X4,X0,6,1.4633592639685597e-07
7,X4,X1,6,2.2237131088108885e-08
8,X4,X2,-1,0.0
9,X4,X3,4,1.6428986359420508e-16
10,X5,X0,7,7.341272418872741e-14
11,X5,X1,6,1.2773201009903502e-14
12,X5,X2,-1,0.0
13,X5,X3,6,0.0
14,X5,X4,6,2.0534753206375746e-07
15,X6,X0,3,0.03006757211027309
16,X6,X1,4,0.005207161258230512
17,X6,X2,-1,0.0
18,X6,X3,3,2.564099396794982e-18
19,X6,X4,3,2.416107034680908e-06
20,X6,X5,7,9.369071538178055e-13
21,X7,X0,-1,0.0
22,X7,X1,-1,0.0
23,X7,X2,-1,0.0
24,X7,X3,-1,0.0
25,X7,X4,-1,0.0
26,X7,X5,-1,0.0
27,X7,X6,-1,0.0
28,X8,X0,4,0.016958959636957177
29,X8,X1,6,0.0
30,X8,X2,-1,0.0
31,X8,X3,7,0.0
32,X8,X4,5,0.0
33,X8,X5,7,0.0
34,X8,X6,4,0.0
35,X8,X7,-1,0.0
36,X9,X0,8,8.111173128908837e-09
37,X9,X1,10,0.0
38,X9,X2,-1,0.0
39,X9,X3,9,0.0
40,X9,X4,8,0.0
41,X9,X5,11,0.0
42,X9,X6,7,0.0
43,X9,X7,-1,0.0
44,X9,X8,7,0.0
45,X10,X0,4,1.4691247585117818e-14
46,X10,X1,2,0.0013526762152845226
47,X10,X2,-1,0.0
48,X10,X3,3,0.0
49,X10,X4,5,4.05413495477015e-08
50,X10,X5,5,0.0
51,X10,X6,4,2.39562835943334e-13
52,X10,X7,-1,0.0
53,X10,X8,6,0.0
54,X10,X9,10,0.0
55,X11,X0,3,0.012053499094612823
56,X11,X1,5,0.0
57,X11,X2,-1,0.0
58,X11,X3,6,0.0
59,X11,X4,5,0.0
60,X11,X5,6,0.0
61,X11,X6,4,0.0
62,X11,X7,-1,0.0
63,X11,X8,2,0.10779084819012885
64,X11,X9,7,0.0
65,X11,X10,5,0.0
66,X12,X0,4,0.005783173797026132
67,X12,X1,2,0.032744164697820544
68,X12,X2,-1,0.0
69,X12,X3,3,0.004957564355495167
70,X12,X4,5,4.456868320421817e-07
71,X12,X5,7,1.7298598118672306e-13
72,X12,X6,2,0.11306692135465735
73,X12,X7,-1,0.0
74,X12,X8,6,0.0
75,X12,X9,9,0.0
76,X12,X10,2,4.399971647636429e-14
77,X12,X11,5,0.0
78,X13,X0,7,1.0827537296418386e-07
79,X13,X1,4,4.467897182762622e-07
80,X13,X2,-1,0.0
81,X13,X3,4,0.001326648384532116
82,X13,X4,7,2.0418061780189708e-07
83,X13,X5,6,2.4727937502808887e-09
84,X13,X6,4,1.7765449443836088e-06
85,X13,X7,-1,0.0
86,X13,X8,8,0.0
87,X13,X9,11,0.0
88,X13,X10,5,6.321505364009682e-10
89,X13,X11,8,0.0
90,X13,X12,6,8.825913824378646e-06
91,X14,X0,4,0.001019821218913572
92,X14,X1,7,1.1802406575306835e-05
93,X14,X2,-1,0.0
94,X14,X3,6,7.001369383974166e-17
95,X14,X4,4,1.6931619838537448e-09
96,X14,X5,8,7.570956800242405e-16
97,X14,X6,3,0.0011442005894784918
98,X14,X7,-1,0.0
99,X14,X8,3,0.005147397885996951
100,X14,X9,4,0.0
101,X14,X10,7,-3.5338015208921785e-17
102,X14,X11,3,0.003746564819075535
103,X14,X12,5,0.00020100688363427696
104,X14,X13,7,3.94953528498581e-09
105,X15,X0,6,7.371096027414325e-14
106,X15,X1,5,1.293501740990591e-14
107,X15,X2,-1,0.0
108,X15,X3,5,0.0
109,X15,X4,5,2.0571301561748436e-07
110,X15,X5,1,0.3051715026406772
111,X15,X6,6,1.2149386160386598e-12
112,X15,X7,-1,0.0
113,X15,X8,6,0.0
114,X15,X9,10,0.0
115,X15,X10,4,0.0
116,X15,X11,5,0.0
117,X15,X12,6,2.2392594559548288e-13
118,X15,X13,5,3.2065329100858746e-09
119,X15,X14,7,7.885694300117535e-16
120,X16,X0,7,7.881029286059188e-12
121,X16,X1,3,7.446855227281673e-05
122,X16,X2,-1,0.0
123,X16,X3,1,0.13545339756146765
124,X16,X4,3,2.203865310120099e-05
125,X16,X5,5,2.6353643673094e-07
126,X16,X6,4,1.3010783547545354e-10
127,X16,X7,-1,0.0
128,X16,X8,6,0.0
129,X16,X9,9,0.0
130,X16,X10,4,6.73565167275147e-08
131,X16,X11,6,0.0
132,X16,X12,4,0.0013512654623722316
133,X16,X13,4,0.004655567377736182
134,X16,X14,5,8.077948189668912e-14
135,X16,X15,4,2.639738160935127e-07
136,X17,X0,5,0.0029848115862762606
137,X17,X1,3,0.015621100250594627
138,X17,X2,-1,0.0
139,X17,X3,4,0.0024978366456179825
140,X17,X4,6,2.349007819617689e-07
141,X17,X5,8,9.106707393104946e-14
142,X17,X6,3,0.050814984266420685
143,X17,X7,-1,0.0
144,X17,X8,7,0.0
145,X17,X9,10,0.0
146,X17,X10,3,2.316343602035608e-14
147,X17,X11,6,0.0
148,X17,X12,1,0.3078779847292415
149,X17,X13,7,4.623862867466212e-06
150,X17,X14,6,0.00010740704911088431
151,X17,X15,7,9.121901110123791e-14
152,X17,X16,5,0.0007046248717958118
153,X18,X0,5,9.966875163474416e-15
154,X18,X1,3,0.0009349704456832779
155,X18,X2,-1,0.0
156,X18,X3,4,0.0
157,X18,X4,6,2.8062907265466913e-08
158,X18,X5,6,0.0
159,X18,X6,5,1.6584684778087752e-13
160,X18,X7,-1,0.0
161,X18,X8,7,0.0
162,X18,X9,11,0.0
163,X18,X10,1,0.15315183734507437
164,X18,X11,6,0.0
165,X18,X12,3,3.046693623909949e-14
166,X18,X13,6,4.375740362968013e-10
167,X18,X14,8,5.471830047528213e-18
168,X18,X15,5,0.0
169,X18,X16,5,4.661752064100206e-08
170,X18,X17,4,1.606825690114902e-14
171,X19,X0,6,9.61150784562116e-16
172,X19,X1,4,9.365405718161956e-05
173,X19,X2,-1,0.0
174,X19,X3,5,0.0
175,X19,X4,7,2.659379467840142e-09
