,Unnamed: 0,target_var,condition_var,condition_val,cond_target_dist,prob,marginal,condition_influence,type,prob_std,prop_valid,n_intermediate,prop_d_separating,all_intermediate_vars,checkpoint,checkpoint_idx
0,0.0,X0,X1,0,7.0,0.6444044514651733,0.6444044514651734,1.1102230246251563e-16,true,,,,,,,
1,1.0,X0,X1,1,7.0,0.6444044514651734,0.6444044514651734,0.0,true,,,,,,,
2,2.0,X0,X2,0,6.0,0.6444044514651734,0.6444044514651734,0.0,true,,,,,,,
3,3.0,X0,X2,1,6.0,0.6444044514651734,0.6444044514651734,0.0,true,,,,,,,
4,4.0,X0,X3,0,5.0,0.6444044514651732,0.6444044514651734,2.220446049250313e-16,true,,,,,,,
5,5.0,X0,X3,1,5.0,0.6444044514651734,0.6444044514651734,0.0,true,,,,,,,
6,6.0,X0,X4,0,8.0,0.6444044514651734,0.6444044514651734,0.0,true,,,,,,,
7,7.0,X0,X4,1,8.0,0.6444044514651734,0.6444044514651734,0.0,true,,,,,,,
8,8.0,X0,X5,0,9.0,0.6444044514651734,0.6444044514651734,0.0,true,,,,,,,
9,9.0,X0,X5,1,9.0,0.6444044514651734,0.6444044514651734,0.0,true,,,,,,,
10,10.0,X0,X6,0,5.0,0.6444044514651732,0.6444044514651734,2.220446049250313e-16,true,,,,,,,
11,11.0,X0,X6,1,5.0,0.6444044514651733,0.6444044514651734,1.1102230246251563e-16,true,,,,,,,
12,12.0,X0,X7,0,5.0,0.6444044514651734,0.6444044514651734,0.0,true,,,,,,,
13,13.0,X0,X7,1,5.0,0.6444044514651734,0.6444044514651734,0.0,true,,,,,,,
14,14.0,X0,X8,0,8.0,0.6444044514651734,0.6444044514651734,0.0,true,,,,,,,
15,15.0,X0,X8,1,8.0,0.6444044514651734,0.6444044514651734,0.0,true,,,,,,,
16,16.0,X0,X9,0,8.0,0.6444044514651734,0.6444044514651734,0.0,true,,,,,,,
17,17.0,X0,X9,1,8.0,0.6444044514651733,0.6444044514651734,1.1102230246251563e-16,true,,,,,,,
